Stock,Alert_Type,Alert_Time,Option_Contract,Stock_LTP,Qty,Buy_Price,Buy_Time,Sell_Price,Sell_Time,PnL,Stop_Loss,Status,Should_Enter
POLICYBZR,Bullish,2025-11-04 10:15:00,POLICYBZR-Nov2025-1880-CE,1856.00,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
KALYANKJIL,Bullish,2025-11-04 10:15:00,KALYANKJIL-Nov2025-540-CE,528.35,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
POWERINDIA,Bullish,2025-11-04 10:15:00,POWERINDIA-Nov2025-20500-CE,20236.00,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
LAURUSLABS,Bullish,2025-11-04 10:15:00,LAURUSLABS-Nov2025-1000-CE,984.25,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
ALKEM,Bullish,2025-11-04 10:15:00,ALKEM-Nov2025-5700-CE,5653.00,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
INDUSTOWER,Bullish,2025-11-04 10:15:00,INDUSTOWER-Nov2025-410-CE,390.90,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
LTF,Bullish,2025-11-04 10:15:00,LTF-Nov2025-300-CE,283.15,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
YESBANK,Bullish,2025-11-04 10:15:00,YESBANK-Nov2025-34-CE,23.31,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
BHARTIARTL,Bullish,2025-11-04 10:15:00,BHARTIARTL-Nov2025-2200-CE,2119.50,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
IOC,Bullish,2025-11-04 10:15:00,IOC-Nov2025-170-CE,169.92,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
BPCL,Bullish,2025-11-04 10:15:00,BPCL-Nov2025-380-CE,371.65,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
TITAN,Bullish,2025-11-04 10:15:00,TITAN-Nov2025-3900-CE,3803.90,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
HINDPETRO,Bullish,2025-11-04 10:15:00,HINDPETRO-Nov2025-510-CE,488.25,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
BAJAJ-AUTO,Bearish,2025-11-04 11:15:00,BAJAJ-AUTO-Nov2025-8500-PE,8772.50,75,100.00,2025-11-04 11:15:00,109.85,2025-11-04 15:25:00,738.75,58.67,TIME_EXIT,YES
TECHM,Bearish,2025-11-04 11:15:00,TECHM-Nov2025-1400-PE,1410.30,600,23.55,2025-11-04 11:15:00,24.85,2025-11-04 15:25:00,780.00,18.38,TIME_EXIT,YES
NTPC,Bearish,2025-11-04 11:15:00,NTPC-Nov2025-330-PE,330.15,1500,6.50,2025-11-04 11:15:00,6.45,2025-11-04 15:25:00,-75.00,4.43,TIME_EXIT,YES
BANDHANBNK,Bearish,2025-11-04 11:15:00,BANDHANBNK-Nov2025-155-PE,155.15,3600,4.08,2025-11-04 11:15:00,3.60,2025-11-04 15:25:00,-1728.00,3.22,TIME_EXIT,YES
RVNL,Bearish,2025-11-04 11:15:00,RVNL-Nov2025-310-PE,327.00,1375,5.75,2025-11-04 11:15:00,7.15,2025-11-04 15:25:00,1925.00,3.50,TIME_EXIT,YES
COLPAL,Bearish,2025-11-04 11:15:00,COLPAL-Nov2025-2100-PE,2187.60,225,11.60,2025-11-04 11:15:00,11.00,2025-11-04 15:25:00,-135.00,0.05,TIME_EXIT,YES
HEROMOTOCO,Bearish,2025-11-04 11:15:00,HEROMOTOCO-Nov2025-5200-PE,5296.50,150,82.50,2025-11-04 11:15:00,79.75,2025-11-04 15:25:00,-412.50,61.83,TIME_EXIT,YES
SBILIFE,Bullish,2025-11-04 11:15:00,SBILIFE-Nov2025-2000-CE,1983.60,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
ICICIGI,Bullish,2025-11-04 11:15:00,ICICIGI-Nov2025-2060-CE,2036.20,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
ICICIBANK,Bearish,2025-11-04 12:15:00,ICICIBANK-Nov2025-1300-PE,1336.90,700,7.00,2025-11-04 12:15:00,7.65,2025-11-04 15:25:00,455.00,2.57,TIME_EXIT,YES
PAGEIND,Bearish,2025-11-04 12:15:00,PAGEIND-Nov2025-39000-PE,40205.00,15,515.10,2025-11-04 12:15:00,570.00,2025-11-04 15:25:00,823.50,308.43,TIME_EXIT,YES
ADANIENT,Bearish,2025-11-04 12:15:00,ADANIENT-Nov2025-2400-PE,2442.00,300,61.00,2025-11-04 12:15:00,73.45,2025-11-04 15:25:00,3735.00,50.67,TIME_EXIT,YES
WIPRO,Bearish,2025-11-04 12:15:00,WIPRO-Nov2025-230-PE,237.78,3000,2.00,2025-11-04 12:15:00,1.86,2025-11-04 15:25:00,-420.00,0.97,TIME_EXIT,YES
SHREECEM,Bearish,2025-11-04 12:15:00,SHREECEM-Nov2025-27000-PE,27620.00,25,247.10,2025-11-04 12:15:00,249.95,2025-11-04 15:25:00,71.25,123.10,TIME_EXIT,YES
SUZLON,Bullish,2025-11-04 12:15:00,SUZLON-Nov2025-80-CE,60.77,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
MAZDOCK,Bearish,2025-11-04 13:15:00,MAZDOCK-Nov2025-2650-PE,2694.10,175,59.15,2025-11-04 13:15:00,65.55,2025-11-04 15:25:00,1120.00,41.44,TIME_EXIT,YES
INDIGO,Bearish,2025-11-04 13:15:00,INDIGO-Nov2025-5550-PE,5595.00,150,115.75,2025-11-04 13:15:00,105.95,2025-11-04 15:25:00,-1470.00,95.08,TIME_EXIT,YES
DIXON,Bearish,2025-11-04 14:15:00,DIXON-Nov2025-15000-PE,15252.00,50,305.65,2025-11-04 14:15:00,298.05,2025-11-04 15:25:00,-380.00,243.65,TIME_EXIT,YES
POWERGRID,Bearish,2025-11-04 14:15:00,POWERGRID-Nov2025-275-PE,278.50,1900,5.10,2025-11-04 14:15:00,5.15,2025-11-04 15:25:00,95.00,3.47,TIME_EXIT,YES
ULTRACEMCO,Bearish,2025-11-04 14:15:00,ULTRACEMCO-Nov2025-11500-PE,11846.00,50,68.50,2025-11-04 14:15:00,77.00,2025-11-04 15:25:00,425.00,6.50,TIME_EXIT,YES
ZYDUSLIFE,Bearish,2025-11-04 14:15:00,ZYDUSLIFE-Nov2025-950-PE,969.65,900,14.10,2025-11-04 14:15:00,13.45,2025-11-04 15:25:00,-585.00,10.66,TIME_EXIT,YES
TRENT,Bearish,2025-11-04 14:15:00,TRENT-Nov2025-4600-PE,4655.50,100,121.00,2025-11-04 14:15:00,122.00,2025-11-04 15:25:00,100.00,90.00,TIME_EXIT,YES
SOLARINDS,Bearish,2025-11-04 14:15:00,SOLARINDS-Nov2025-13500-PE,13622.00,75,355.00,2025-11-04 14:15:00,369.95,2025-11-04 15:25:00,1121.25,313.67,TIME_EXIT,YES
COALINDIA,Bearish,2025-11-04 14:15:00,COALINDIA-Nov2025-369.75-PE,376.80,1350,3.15,2025-11-04 14:15:00,2.95,2025-11-04 15:25:00,-270.00,0.85,TIME_EXIT,YES
SBIN,Bullish,2025-11-04 14:15:00,SBIN-Nov2025-960-CE,954.40,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
